,Year,Player,Pos,Team,UUID
0,2022,Giannis Antetokounmpo,PF,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
1,2022,Nikola Jokic,C,Denver Nuggets,23d94817-a2fe-42bd-9468-1029bfe46ce0
2,2022,Devin Booker,SG,Phoenix Suns,da929682-c586-433a-a3cb-8f79fb000167
3,2022,Luka Doncic,PG,Dallas Mavericks,7b9e31a5-eda3-46f3-aa67-b935332d5745
4,2022,Jayson Tatum,SF,Boston Celtics,13edcefc-df0c-4cc4-a146-357e35f27835
5,2021,Stephen Curry,PG,Golden State Warriors,0d729373-8640-4772-922d-1f8d86817adc
6,2021,Kawhi Leonard,SF,LA Clippers,2f7f0fa9-e257-410a-9ce5-76d5169b07be
7,2021,Giannis Antetokounmpo,PF,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
8,2021,Nikola Jokic,C,Denver Nuggets,23d94817-a2fe-42bd-9468-1029bfe46ce0
9,2021,Luka Doncic,PG,Dallas Mavericks,7b9e31a5-eda3-46f3-aa67-b935332d5745
10,2020,LeBron James,F,Los Angeles Lakers,4ae6326c-7a7a-4902-a874-ae7a1358a285
11,2020,James Harden,G,Houston Rockets,6472c887-cc8f-407b-b727-ccfcb5e803df
12,2020,Anthony Davis,F,Los Angeles Lakers,32fda666-85d5-4689-b53c-2ad968ab162c
13,2020,Giannis Antetokounmpo,F,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
14,2020,Luka Doncic,G,Dallas Mavericks,7b9e31a5-eda3-46f3-aa67-b935332d5745
15,2019,Stephen Curry,G,Golden State Warriors,0d729373-8640-4772-922d-1f8d86817adc
16,2019,James Harden,G,Houston Rockets,6472c887-cc8f-407b-b727-ccfcb5e803df
17,2019,Paul George,F,Oklahoma City Thunder,8bd6e7d0-0bde-4802-8a48-8678839740cc
18,2019,Giannis Antetokounmpo,F,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
19,2019,Nikola Jokic,C,Denver Nuggets,23d94817-a2fe-42bd-9468-1029bfe46ce0
20,2018,LeBron James,F,Cleveland Cavaliers,4ae6326c-7a7a-4902-a874-ae7a1358a285
21,2018,Kevin Durant,F,Golden State Warriors,fd4f493e-5002-456a-988a-109d51120984
22,2018,James Harden,G,Houston Rockets,6472c887-cc8f-407b-b727-ccfcb5e803df
23,2018,Anthony Davis,F,New Orleans Pelicans,32fda666-85d5-4689-b53c-2ad968ab162c
24,2018,Damian Lillard,G,Portland Trail Blazers,b0c5cbfc-2e55-4d23-865a-138b11dfe47a
25,2017,LeBron James,F,Cleveland Cavaliers,4ae6326c-7a7a-4902-a874-ae7a1358a285
26,2017,Russell Westbrook,G,Oklahoma City Thunder,a17c035e-c0c2-4a2f-95ea-18f20cdb6999
27,2017,James Harden,G,Houston Rockets,6472c887-cc8f-407b-b727-ccfcb5e803df
28,2017,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
29,2017,Anthony Davis,F,New Orleans Pelicans,32fda666-85d5-4689-b53c-2ad968ab162c
30,2016,LeBron James,F,Cleveland Cavaliers,4ae6326c-7a7a-4902-a874-ae7a1358a285
31,2016,DeAndre Jordan,C,LA Clippers,435c34a2-d6a5-401d-b8fe-fcb85240572e
32,2016,Russell Westbrook,G,Oklahoma City Thunder,a17c035e-c0c2-4a2f-95ea-18f20cdb6999
33,2016,Stephen Curry,G,Golden State Warriors,0d729373-8640-4772-922d-1f8d86817adc
34,2016,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
35,2015,LeBron James,F,Cleveland Cavaliers,4ae6326c-7a7a-4902-a874-ae7a1358a285
36,2015,Marc Gasol,C,Memphis Grizzlies,e678ec98-8743-4724-8e85-4b8f82f142a3
37,2015,Stephen Curry,G,Golden State Warriors,0d729373-8640-4772-922d-1f8d86817adc
38,2015,James Harden,G,Houston Rockets,6472c887-cc8f-407b-b727-ccfcb5e803df
39,2015,Anthony Davis,F,New Orleans Pelicans,32fda666-85d5-4689-b53c-2ad968ab162c
40,2014,LeBron James,F,Miami Heat,4ae6326c-7a7a-4902-a874-ae7a1358a285
41,2014,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
42,2014,Kevin Durant,F,Oklahoma City Thunder,fd4f493e-5002-456a-988a-109d51120984
43,2014,Joakim Noah,C,Chicago Bulls,d763c524-89fb-4a87-ac64-a975d7dc5b61
44,2014,James Harden,G,Houston Rockets,6472c887-cc8f-407b-b727-ccfcb5e803df
45,2013,Kobe Bryant,G,Los Angeles Lakers,de239086-5a79-49b6-a5b1-552a168da685
46,2013,Tim Duncan,F,San Antonio Spurs,5d4a4b8e-cecc-4fae-977b-853801dae01d
47,2013,LeBron James,F,Miami Heat,4ae6326c-7a7a-4902-a874-ae7a1358a285
48,2013,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
49,2013,Kevin Durant,F,Oklahoma City Thunder,fd4f493e-5002-456a-988a-109d51120984
50,2012,Kobe Bryant,G,Los Angeles Lakers,de239086-5a79-49b6-a5b1-552a168da685
