,Player,2010/11
0,Kobe Bryant,"$24,806,250"
1,Rashard Lewis,"$19,573,711"
2,Kevin Garnett,"$18,800,000"
3,Tim Duncan,"$18,700,000"
4,Michael Redd,"$18,300,000"
5,Pau Gasol,"$17,823,000"
6,Andrei Kirilenko,"$17,823,000"
7,Gilbert Arenas,"$17,730,694"
8,Yao Ming,"$17,686,100"
9,Zach Randolph,"$17,666,666"
10,Vince Carter,"$17,300,000"
11,Dirk Nowitzki,"$17,278,618"
12,Carmelo Anthony,"$17,149,243"
13,Dwight Howard,"$16,647,180"
14,Kenyon Martin,"$16,545,454"
15,Amare Stoudemire,"$16,486,611"
16,Joe Johnson,"$16,324,500"
17,Elton Brand,"$15,959,099"
18,Predrag Stojakovic,"$15,532,320"
19,Chris Paul,"$14,940,153"
20,Deron Williams,"$14,940,152"
21,LeBron James,"$14,500,000"
22,Chris Bosh,"$14,500,000"
23,Jason Richardson,"$14,444,444"
24,Carlos Boozer,"$14,400,000"
25,Dwyane Wade,"$14,200,000"
26,Paul Pierce,"$13,876,321"
27,Andrew Bynum,"$13,700,000"
28,Rudy Gay,"$13,603,750"
29,Brandon Roy,"$13,520,500"
30,Tony Parker,"$13,500,000"
31,Samuel Dalembert,"$13,428,129"
32,Antawn Jamison,"$13,358,905"
33,Nick Collison,"$13,250,000"
34,Chauncey Billups,"$13,150,000"
35,Baron Davis,"$13,000,000"
36,Al Jefferson,"$13,000,000"
37,Tyson Chandler,"$12,600,000"
38,Richard Hamilton,"$12,500,000"
39,Andre Iguodala,"$12,345,250"
40,Troy Murphy,"$11,968,253"
41,Manu Ginobili,"$11,854,584"
42,Chris Kaman,"$11,800,000"
43,Marcus Camby,"$11,749,832"
44,Josh Smith,"$11,600,000"
45,Eddy Curry,"$11,530,592"
46,Emeka Okafor,"$11,495,000"
47,Nenê,"$11,360,000"
48,Luol Deng,"$11,345,000"
49,LaMarcus Aldridge,"$11,244,000"
50,Tayshaun Prince,"$11,148,760"
51,Kevin Martin,"$11,100,005"
52,Monta Ellis,"$11,000,000"
53,Andrew Bogut,"$11,000,000"
54,Danny Granger,"$10,973,202"
55,Jamal Crawford,"$10,800,000"
56,Ben Gordon,"$10,800,000"
57,David Lee,"$10,800,000"
58,Jason Terry,"$10,650,000"
59,Mike Dunleavy,"$10,561,984"
60,Caron Butler,"$10,561,960"
61,Gerald Wallace,"$10,500,000"
62,Steve Nash,"$10,310,938"
63,Hidayet Turkoglu,"$10,215,850"
64,Ray Allen,"$10,000,000"
65,Mehmet Okur,"$9,945,000"
66,Corey Maggette,"$9,600,000"
67,Maurice Williams,"$9,300,000"
68,Rajon Rondo,"$9,090,911"
69,Kirk Hinrich,"$9,000,000"
70,Boris Diaw,"$9,000,000"
71,Andris Biedrins,"$9,000,000"
72,Jose Calderon,"$9,000,000"
73,Devin Harris,"$8,981,000"
74,Jason Kidd,"$8,610,500"
75,TJ Ford,"$8,500,000"
76,Andrea Bargnani,"$8,500,000"
77,Stephen Jackson,"$8,453,250"
78,Richard Jefferson,"$8,400,000"
79,David West,"$8,287,500"
