,Player,Salary,Date
0,Stephen Curry,"$45,780,966",2021
1,John Wall,"$44,310,840",2021
2,James Harden,"$44,310,840",2021
3,Russell Westbrook,"$44,211,146",2021
4,Kevin Durant,"$42,018,900",2021
5,LeBron James,"$41,180,544",2021
6,Paul George,"$39,344,970",2021
7,Kawhi Leonard,"$39,344,900",2021
8,Giannis Antetokounmpo,"$39,344,900",2021
9,Damian Lillard,"$39,344,900",2021
10,Klay Thompson,"$37,980,720",2021
11,Jimmy Butler,"$36,016,200",2021
12,Tobias Harris,"$35,995,950",2021
13,Khris Middleton,"$35,500,000",2021
14,Anthony Davis,"$35,361,360",2021
15,Rudy Gobert,"$35,344,828",2021
16,Kyrie Irving,"$35,328,700",2021
17,Kemba Walker,"$34,967,442",2021
18,Bradley Beal,"$33,724,200",2021
19,Ben Simmons,"$33,003,936",2021
20,Pascal Siakam,"$33,003,936",2021
21,Blake Griffin,"$32,405,817",2021
22,Karl-Anthony Towns,"$31,650,600",2021
23,Devin Booker,"$31,650,600",2021
24,Kristaps Porzingis,"$31,650,600",2021
25,Andrew Wiggins,"$31,579,390",2021
26,Joel Embiid,"$31,579,390",2021
27,Kevin Love,"$31,258,256",2021
28,Jrue Holiday,"$31,171,333",2021
29,Nikola Jokic,"$31,044,906",2021
30,CJ McCollum,"$30,864,198",2021
31,Chris Paul,"$30,800,000",2021
32,D'Angelo Russell,"$30,013,500",2021
33,Gordon Hayward,"$29,925,000",2021
34,Jamal Murray,"$29,467,800",2021
35,Brandon Ingram,"$29,467,800",2021
36,Jayson Tatum,"$28,103,500",2021
37,Bam Adebayo,"$28,103,500",2021
38,De'Aaron Fox,"$28,103,500",2021
39,Donovan Mitchell,"$28,103,500",2021
40,Al Horford,"$27,000,000",2021
41,Kyle Lowry,"$26,984,128",2021
42,Jaylen Brown,"$26,758,928",2021
43,DeMar DeRozan,"$26,000,000",2021
44,Draymond Green,"$24,026,712",2021
45,Nikola Vucevic,"$24,000,000",2021
46,Buddy Hield,"$23,073,234",2021
47,John Collins,"$23,000,000",2021
48,Malcolm Brogdon,"$21,700,000",2021
49,Tim Hardaway Jr,"$21,306,816",2021
50,Mike Conley,"$21,000,000",2021
51,Gary Harris,"$20,932,143",2021
52,Danilo Gallinari,"$20,475,000",2021
53,Harrison Barnes,"$20,284,091",2021
54,Jerami Grant,"$20,002,500",2021
55,Jarrett Allen,"$20,000,000",2021
56,Julius Randle,"$19,800,000",2021
57,Fred VanVleet,"$19,675,926",2021
58,Zach LaVine,"$19,500,000",2021
59,Goran Dragic,"$19,348,907",2021
60,Spencer Dinwiddie,"$19,314,284",2021
61,Bojan Bogdanovic,"$18,700,000",2021
62,Lonzo Ball,"$18,604,651",2021
63,Domantas Sabonis,"$18,500,000",2021
64,Eric Gordon,"$18,218,818",2021
65,Eric Bledsoe,"$18,125,000",2021
66,Bogdan Bogdanovic,"$18,000,000",2021
67,Myles Turner,"$18,000,000",2021
68,Terry Rozier,"$17,905,263",2021
69,Ricky Rubio,"$17,800,000",2021
70,Clint Capela,"$17,603,448",2021
71,Caris LeVert,"$17,500,000",2021
72,Jonathan Isaac,"$17,400,000",2021
73,Joe Harris,"$17,357,143",2021
74,Evan Fournier,"$17,142,857",2021
75,Steven Adams,"$17,073,171",2021
76,Markelle Fultz,"$16,500,000",2021
77,Aaron Gordon,"$16,409,091",2021
78,Gary Trent Jr,"$16,225,000",2021
79,OG Anunoby,"$16,071,429",2021
80,Davis Bertans,"$16,000,000",2021
81,Lauri Markkanen,"$15,690,909",2021
82,Derrick White,"$15,678,571",2021
83,Duncan Robinson,"$15,650,000",2021
84,Marcus Morris,"$15,627,907",2021
85,Will Barton,"$15,625,000",2021
86,Norman Powell,"$15,517,242",2021
87,Dejounte Murray,"$15,428,880",2021
88,Malik Beasley,"$14,491,964",2021
89,Patrick Beverley,"$14,320,987",2021
90,Thaddeus Young,"$14,190,000",2021
91,Jonas Valanciunas,"$14,000,000",2021
92,Marcus Smart,"$13,839,285",2021
93,Doug McDermott,"$13,750,000",2021
94,Christian Wood,"$13,666,667",2021
95,Derrick Rose,"$13,445,120",2021
96,Luke Kennard,"$13,347,727",2021
97,Taurean Prince,"$13,334,375",2021
98,Brook Lopez,"$13,302,325",2021
99,Kentavious Caldwell-Pope,"$13,038,862",2021
100,Joe Ingles,"$13,036,364",2021
101,Kyle Kuzma,"$13,000,000",2021
102,Robert Covington,"$12,975,471",2021
103,TJ Warren,"$12,940,000",2021
104,Deandre Ayton,"$12,632,950",2021
105,Terrence Ross,"$12,500,000",2021
106,Jordan Clarkson,"$12,420,000",2021
107,Dillon Brooks,"$12,200,000",2021
108,Kelly Olynyk,"$12,195,122",2021
109,Nicolas Batum,"$12,026,998",2021
110,Kelly Oubre,"$12,000,000",2021
111,Jusuf Nurkic,"$12,000,000",2021
112,Josh Hart,"$12,000,000",2021
113,Josh Richardson,"$11,615,328",2021
114,Marvin Bagley,"$11,312,114",2021
115,DeAndre Jordan,"$11,109,327",2021
116,Dwight Powell,"$11,080,125",2021
117,Devonte Graham,"$11,000,000",2021
118,Zion Williamson,"$10,733,400",2021
119,Larry Nance Jr,"$10,690,909",2021
120,Jeremy Lamb,"$10,500,000",2021
121,Reggie Jackson,"$10,384,500",2021
122,Richaun Holmes,"$10,384,500",2021
123,Al-Farouq Aminu,"$10,335,621",2021
124,Anthony Edwards,"$10,245,480",2021
125,Luka Doncic,"$10,174,391",2021
126,Cade Cunningham,"$10,050,120",2021
127,Danny Green,"$10,000,000",2021
128,Tomas Satoransky,"$10,000,000",2021
129,Tristan Thompson,"$9,946,611",2021
130,Kyle Anderson,"$9,937,150",2021
131,Montrezl Harrell,"$9,720,900",2021
132,Derrick Jones,"$9,720,900",2021
133,Serge Ibaka,"$9,720,900",2021
134,Derrick Favors,"$9,720,900",2021
135,Jae Crowder,"$9,720,900",2021
136,Ja Morant,"$9,603,360",2021
137,Reggie Bullock,"$9,536,000",2021
138,Alec Burks,"$9,536,000",2021
139,Talen Horton-Tucker,"$9,500,000",2021
140,Mason Plumlee,"$9,248,333",2021
141,Jaren Jackson Jr,"$9,180,560",2021
142,James Wiseman,"$9,166,800",2021
143,Jalen Green,"$8,992,080",2021
144,De'Anthony Melton,"$8,805,976",2021
145,Nerlens Noel,"$8,800,000",2021
146,Royce O'Neale,"$8,800,000",2021
147,Maxi Kleber,"$8,750,000",2021
148,Jakob Poeltl,"$8,750,000",2021
149,Thomas Bryant,"$8,666,667",2021
150,RJ Barrett,"$8,623,920",2021
151,Alex Caruso,"$8,600,000",2021
152,Delon Wright,"$8,526,316",2021
153,Dario Saric,"$8,510,000",2021
154,Monte Morris,"$8,449,074",2021
155,Tyus Jones,"$8,376,286",2021
156,Trae Young,"$8,326,471",2021
157,Daniel Theis,"$8,280,351",2021
158,LaMelo Ball,"$8,231,760",2021
159,Seth Curry,"$8,207,518",2021
160,JaMychal Green,"$8,200,000",2021
161,Cedi Osman,"$8,133,334",2021
162,Evan Mobley,"$8,075,160",2021
163,De'Andre Hunter,"$7,775,400",2021
164,DJ Augustin,"$7,622,467",2021
165,Mo Bamba,"$7,568,743",2021
166,Ivica Zubac,"$7,518,518",2021
167,Rajon Rondo,"$7,500,000",2021
168,TJ McConnell,"$7,500,000",2021
169,Patrick Williams,"$7,422,000",2021
170,Cory Joseph,"$7,310,000",2021
171,Scottie Barnes,"$7,280,400",2021
172,Darius Garland,"$7,040,880",2021
173,Chris Boucher,"$7,020,000",2021
174,PJ Tucker,"$7,000,000",2021
175,Zach Collins,"$7,000,000",2021
176,Wendell Carter,"$6,920,027",2021
177,Juan Hernangomez,"$6,803,190",2021
178,Isaac Okoro,"$6,720,720",2021
179,Jalen Suggs,"$6,592,920",2021
180,Cameron Payne,"$6,500,000",2021
181,Joakim Noah,"$6,431,666",2021
182,Jarrett Culver,"$6,395,160",2021
183,Khem Birch,"$6,350,000",2021
184,Collin Sexton,"$6,349,671",2021
185,Onyeka Okongwu,"$6,104,280",2021
186,Justin Holiday,"$6,006,420",2021
187,Josh Giddey,"$5,988,000",2021
188,Patrick Mills,"$5,890,000",2021
189,Dennis Schroeder,"$5,890,000",2021
190,Rudy Gay,"$5,890,000",2021
191,Kevin Knox,"$5,845,978",2021
192,Coby White,"$5,837,760",2021
193,Timofey Mozgov,"$5,573,333",2021
194,Killian Hayes,"$5,572,680",2021
195,Mikal Bridges,"$5,557,725",2021
196,Shai Gilgeous-Alexander,"$5,495,532",2021
197,Jonathan Kuminga,"$5,466,360",2021
198,Miles Bridges,"$5,421,493",2021
199,Jaxson Hayes,"$5,348,280",2021
200,Pat Connaughton,"$5,333,334",2021
201,Kris Dunn,"$5,317,430",2021
202,George Hill,"$5,275,491",2021
203,Michael Porter,"$5,258,735",2021
204,Dewayne Dedmon,"$5,256,308",2021
205,Ryan Anderson,"$5,214,583",2021
206,Hamidou Diallo,"$5,200,000",2021
207,Kevon Looney,"$5,178,572",2021
208,Troy Brown,"$5,170,564",2021
209,Obi Toppin,"$5,105,160",2021
210,Franz Wagner,"$5,007,840",2021
211,Josh Jackson,"$5,005,350",2021
212,Louis Williams,"$5,000,000",2021
213,Kendrick Nunn,"$5,000,000",2021
214,Luol Deng,"$5,000,000",2021
215,Robin Lopez,"$5,000,000",2021
216,JaVale McGee,"$5,000,000",2021
217,Danuel House,"$4,997,424",2021
218,Rui Hachimura,"$4,916,160",2021
219,Garrett Temple,"$4,910,000",2021
220,Taj Gibson,"$4,910,000",2021
221,Torrey Craig,"$4,878,049",2021
222,Bruce Brown,"$4,736,102",2021
223,Deni Avdija,"$4,692,840",2021
224,Donte DiVincenzo,"$4,675,830",2021
